PeakF	MaxF	MinF	StartF	EndF	Inflec	PRR	Sound	Dur	BW	RangeF	TrendF
102.3	161.6	79.2	161	79	1	0	GR	0.249	82.4	2.04040404	2.037974684
91.5	141	64.9	141	64	1	0	GR	0.31	76.1	2.17257319	2.203125
118.4	202.8	95	146	196	2	0	AM	0.395	107.8	2.134736842	0.744897959
721.4	1197.5	88.7	88	1197.5	2	0	TR	0.672	1108.8	13.5005637	0.07348643
672.9	1172.2	104.5	104	1172.2	2	0	TR	0.677	1067.7	11.21722488	0.088722061
705.2	1026.5	72.9	72	1026.5	2	0	TR	0.702	953.6	14.08093278	0.070141257
113	190.1	85.5	152	190	2	0	AM	0.656	104.6	2.223391813	0.8
705.2	1317.9	72.9	72	1317	2	0	TR	0.912	1245	18.0781893	0.054669704
662.1	1259	94.1	94.1	1259	2	0	TR	0.754	1164.9	13.37938363	0.074741859
662.1	1097.7	80.6	80	1097.7	2	0	TR	0.708	1017.1	13.6191067	0.072879657
979.8	1415.8	923	1187	923	1	0	NSH	0.627	492.8	1.533911159	1.286023835
656.8	1043.9	121	121	1043	2	0	TR	0.653	922.9	8.627272727	0.116011505
672.9	1093.2	94.1	94	1093	2	0	TR	0.643	999.1	11.61742827	0.08600183
958.2	1348.6	909.5	963	909	1	0	NSH	0.973	439.1	1.482792743	1.059405941
780.6	1052.9	107.5	107.5	1052.9	2	0	TR	0.676	945.4	9.794418605	0.102098965
672.9	1003.6	156.8	156.8	1003.6	2	0	TR	0.627	846.8	6.400510204	0.156237545
1286.6	1371	918.5	1259	918	1	0	NSH	1.041	452.5	1.492651062	1.371459695
694.4	909.5	107.5	107.5	909.5	2	0	TR	0.637	802	8.460465116	0.118196811
1103.6	1563.7	931.9	1129	931.9	2	0	NSH	0.902	631.8	1.677969739	1.21150338
419.9	537.6	318.1	430	417	14	0	SI	3.619	219.5	1.69003458	1.03117506
430.7	479.4	336	439	448	5	0	MSI	0.999	143.4	1.426785714	0.979910714
